# Facetten-Diagnose (T2-Treppe), Stufe 1 -- yw,winkel_grad,r21,r10,klasse,achse,n_punkte,eigene_links
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.094011,11.1225,0.305675,0.831051,26,2,57,6
0.101392,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.0940108,11.1225,0.305675,0.831051,26,2,57,6
0.101391,43.7066,0.443518,0.574309,26,0,78,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345021,24.2615,0.0337945,0.586667,0,0,69,7
0.434168,43.1371,0.437164,0.60437,2,2,72,5
0.159652,32.7288,0.821312,0.513656,10,2,96,1
0.345022,24.2615,0.0337945,0.586667,0,0,69,7
